player_id,display_name,player_name,surname,forename,player_dob,dob_display,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3,position
AldridgePaul19811202,"Aldridge, Paul",Paul Aldridge,Aldridge,Paul,1981-12-02,,,Forward,Centre-Forward,,,Centre-Forward
AlexanderAlex19240928,"Alexander, Alex",Alex Alexander,Alexander,Alex,1924-09-28,,Outside Left,,,,,Outside Left
AlldisGillie19200126,"Alldis, Gillie",Gillie Alldis,Alldis,Gillie,1920-01-26,,Right Half,,,,,Right Half
AllenGraham19770408,"Allen, Graham",Graham Allen,Allen,Graham,1977-04-08,,,Defender,Centre-Back,Right-Back,,Centre-Back
AllenMark19631218,"Allen, Mark",Mark Allen,Allen,Mark,1963-12-18,,Forward,,,,,Forward
AllenRussell19540109,"Allen, Russell",Russell Allen,Allen,Russell,1954-01-09,,Forward,,,,,Forward
AllisonWayne19681016,"Allison, Wayne",Wayne Allison,Allison,Wayne,1968-10-16,,,Forward,Centre-Forward,,,Centre-Forward
AlmondJohn41915,"Almond, John",John Almond,Almond,John,,Q4 1915,Outside Left,,,,,Outside Left
AlmondLouis19920105,"Almond, Louis",Louis Almond,Almond,Louis,1992-01-05,,,Forward,Centre-Forward,Left Winger,,Centre-Forward
AmeryCharlie19100916,"Amery, Charlie",Charlie Amery,Amery,Charlie,1910-09-16,,Left Back,,,,,Left Back
AmooDavid19910413,"Amoo, David",David Amoo,Amoo,David,1991-04-13,,,Forward,Right Winger,Left Winger,Second Striker,Right Winger
AndersJimmy19280308,"Anders, Jimmy",Jimmy Anders,Anders,Jimmy,1928-03-08,,Outside Left,,,,,Outside Left
AndersonDoug19630829,"Anderson, Doug",Doug Anderson,Anderson,Doug,1963-08-29,,Outside Left,,Winger,,,Outside Left
AndersonIain19770723,"Anderson, Iain",Iain Anderson,Anderson,Iain,1977-07-23,,,Midfielder,Right Winger,Right Midfield,,Right Winger
AndersonTed19110717,"Anderson, Ted",Ted Anderson,Anderson,Ted,1911-07-17,,Wing Half,,,,,Wing Half
AntwiGodwin19880607,"Antwi, Godwin",Godwin Antwi,Antwi,Godwin,1988-06-07,,,Defender,Centre-Back,,,Centre-Back
ApterRob20030423,"Apter, Rob",Rob Apter,Apter,Rob,2003-04-23,,,Midfielder,Right Winger,Attacking Midfield,,Right Winger
AriyibiGboly19950118,"Ariyibi, Gboly",Gboly Ariyibi,Ariyibi,Gboly,1995-01-18,,,Forward,Left Winger,Right Winger,Attacking Midfield,Left Winger
ArnellAlan19331125,"Arnell, Alan",Alan Arnell,Arnell,Alan,1933-11-25,,Center Forward,,,,,Center Forward
ArthurworreyStephen19941015,"Arthurworrey, Stephen",Stephen Arthurworrey,Arthurworrey,Stephen,1994-10-15,,,Defender,Centre-Back,,,Centre-Back
AshcroftBilly19521001,"Ashcroft, Billy",Billy Ashcroft,Ashcroft,Billy,1952-10-01,,Central Defender,,Centre-Back,Centre-Forward,,Central Defender
AshcroftLlew19210710,"Ashcroft, Llew",Llew Ashcroft,Ashcroft,Llew,1921-07-10,,Outside Right,,,,,Outside Right
AshtonNeil19850115,"Ashton, Neil",Neil Ashton,Ashton,Neil,1985-01-15,,,Defender,Left-Back,Centre-Back,,Left-Back
AshworthBarry19420815,"Ashworth, Barry",Barry Ashworth,Ashworth,Barry,1942-08-15,,Right Half,,,,,Right Half
AspinallJohn19590315,"Aspinall, John",John Aspinall,Aspinall,John,1959-03-15,,Midfielder,,Winger,,,Midfielder
AtkinsonChris19920213,"Atkinson, Chris",Chris Atkinson,Atkinson,Chris,1992-02-13,,,Midfielder,Central Midfield,,,Central Midfield
AtkinsonHarold19250728,"Atkinson, Harold",Harold Atkinson,Atkinson,Harold,1925-07-28,,Center Forward,,,,,Center Forward
BabbPhil19701130,"Babb, Phil",Phil Babb,Babb,Phil,1970-11-30,,,Defender,Centre-Back,Left-Back,,Centre-Back
BainKithson19820526,"Bain, Kithson",Kithson Bain,Bain,Kithson,1982-05-26,,,Forward,Centre-Forward,,,Centre-Forward
BainbridgeBill19220309,"Bainbridge, Bill",Bill Bainbridge,Bainbridge,Bill,1922-03-09,,Inside Right,,,,,Inside Right
BakayogoZoumana19860817,"Bakayogo, Zoumana",Zoumana Bakayogo,Bakayogo,Zoumana,1986-08-17,,,Defender,Left-Back,Left Midfield,,Left-Back
BakerHorace19100901,"Baker, Horace",Horace Baker,Baker,Horace,1910-09-01,,Outside Right,,,,,Outside Right
BaldwinEdmund31910,"Baldwin, Edmund",Edmund Baldwin,Baldwin,Edmund,,Q3 1910,Center Forward,,,,,Center Forward
BamberJack18950411,"Bamber, Jack",Jack Bamber,Bamber,Jack,1895-04-11,,Center Half,,,,,Center Half
BanksOllie19920921,"Banks, Ollie",Ollie Banks,Banks,Ollie,1992-09-21,,,Midfielder,Central Midfield,Defensive Midfield,Attacking Midfield,Central Midfield
BarkerGeorge19910926,"Barker, George",George Barker,Barker,George,1991-09-26,,,Midfielder,Centre-Forward,Right Winger,Left Winger,Centre-Forward
BarlowStuart19680716,"Barlow, Stuart",Stuart Barlow,Barlow,Stuart,1968-07-16,,,Forward,Centre-Forward,,,Centre-Forward
BarnettCharlie19880919,"Barnett, Charlie",Charlie Barnett,Barnett,Charlie,1988-09-19,,,Midfielder,Central Midfield,,,Central Midfield
BarnettGraham19360517,"Barnett, Graham",Graham Barnett,Barnett,Graham,1936-05-17,,Inside Forward,,,,,Inside Forward
BarrettArthur19271221,"Barrett, Arthur",Arthur Barrett,Barrett,Arthur,1927-12-21,,Half Back,,,,,Half Back
BarrieJohn19250517,"Barrie, John",John Barrie,Barrie,John,1925-05-17,,Fullback,,,,,Fullback
BartonTeddy11904,"Barton, Teddy",Teddy Barton,Barton,Teddy,,Q1 1904,Right Half,,,,,Right Half
BauressGary19710119,"Bauress, Gary",Gary Bauress,Bauress,Gary,1971-01-19,,Center Half,,,,,Center Half
BavinJohn19210525,"Bavin, John",John Bavin,Bavin,John,1921-05-25,,Fullback,,,,,Fullback
BaxterJose19920207,"Baxter, Jose",Jose Baxter,Baxter,Jose,1992-02-07,,,Forward,Attacking Midfield,Central Midfield,Second Striker,Attacking Midfield
BeamishKenny19470825,"Beamish, Kenny",Kenny Beamish,Beamish,Kenny,1947-08-25,,Forward,,Centre-Forward,,,Forward
BedfordFred19020625,"Bedford, Fred",Fred Bedford,Bedford,Fred,1902-06-25,,Outside Right,,,,,Outside Right
BelehouanJean20000901,"Belehouan, Jean",Jean Belehouan,Belehouan,Jean,2000-09-01,,,Defender,Centre-Back,Left-Back,,Centre-Back
BellBunny19110410,"Bell, Bunny",Bunny Bell,Bell,Bunny,1911-04-10,,Center Forward,,,,,Center Forward
BellGraham19550330,"Bell, Graham",Graham Bell,Bell,Graham,1955-03-30,,Midfielder,,,,,Midfielder
BellHarold19241122,"Bell, Harold",Harold Bell,Bell,Harold,1924-11-22,,Center Half,,,,,Center Half
BellBaggieAbdulai19920428,"Bell-Baggie, Abdulai",Abdulai Bell-Baggie,Bell-Baggie,Abdulai,1992-04-28,,,Midfielder,Right Winger,Left Winger,,Right Winger
BennettGary19630920,"Bennett, Gary",Gary Bennett,Bennett,Gary,1963-09-20,,Forward,,Centre-Forward,,,Forward
BeresfordDavid19761111,"Beresford, David",David Beresford,Beresford,David,1976-11-11,,,Midfielder,Left Midfield,,,Left Midfield
BestJohn19400711,"Best, John",John Best,Best,John,1940-07-11,,Half Back,,,,,Half Back
BeswickSammy19030308,"Beswick, Sammy",Sammy Beswick,Beswick,Sammy,1903-03-08,,Center Forward,,,,,Center Forward
BevanHarry19060223,"Bevan, Harry",Harry Bevan,Bevan,Harry,1906-02-23,,Inside Left,,,,,Inside Left
BillingtonStan19370223,"Billington, Stan",Stan Billington,Billington,Stan,1937-02-23,,Fullback,,,,,Fullback
BirminghamCharles19220824,"Birmingham, Charles",Charles Birmingham,Birmingham,Charles,1922-08-24,,Inside Forward,,,,,Inside Forward
BirtlesDanny19040224,"Birtles, Danny",Danny Birtles,Birtles,Danny,1904-02-24,,Outside Right,,,,,Outside Right
BishopEddie19621128,"Bishop, Eddie",Eddie Bishop,Bishop,Eddie,1962-11-28,,Midfielder,,Central Midfield,,,Midfielder
BlackMichael19761006,"Black, Michael",Michael Black,Black,Michael,1976-10-06,,,Midfielder,Left Winger,Right Winger,,Left Winger
BlackPaul19900118,"Black, Paul",Paul Black,Black,Paul,1990-01-18,,,Defender,Left-Back,,,Left-Back
BlackettTaylorCorey19970923,"Blackett-Taylor, Corey",Corey Blackett-Taylor,Blackett-Taylor,Corey,1997-09-23,,,Forward,Right Winger,Left Winger,,Right Winger
BlackhamJoe20010910,"Blackham, Joe",Joe Blackham,Blackham,Joe,2001-09-10,,,Midfielder,Defensive Midfield,Central Midfield,Right-Back,Defensive Midfield
BlanchardMaxime19860927,"Blanchard, Maxime",Maxime Blanchard,Blanchard,Maxime,1986-09-27,,,Defender,Centre-Back,Right-Back,Defensive Midfield,Centre-Back
BlissettNathan19900629,"Blissett, Nathan",Nathan Blissett,Blissett,Nathan,1990-06-29,,,Forward,Centre-Forward,Left Winger,Right Winger,Centre-Forward
BlundellAlan19470818,"Blundell, Alan",Alan Blundell,Blundell,Alan,1947-08-18,,Half Back,,,,,Half Back
BonettiIvano19640801,"Bonetti, Ivano",Ivano Bonetti,Bonetti,Ivano,1964-08-01,,Winger,Midfielder,Right Winger,Left Winger,,Winger
BorthwickJacksonCameron19970202,"Borthwick-Jackson, Cameron",Cameron Borthwick-Jackson,Borthwick-Jackson,Cameron,1997-02-02,,,Defender,Left-Back,Centre-Back,,Left-Back
BowenWilliam19090316,"Bowen, William",William Bowen,Bowen,William,1909-03-16,,Center Forward,,,,,Center Forward
BracewellKen19361005,"Bracewell, Ken",Ken Bracewell,Bracewell,Ken,1936-10-05,,Fullback,,,,,Fullback
BradshawGeorge19040312,"Bradshaw, George",George Bradshaw,Bradshaw,George,1904-03-12,,Left Back,,,,,Left Back
BradshawHarry18950122,"Bradshaw, Harry",Harry Bradshaw,Bradshaw,Harry,1895-01-22,,Goalkeeper,,,,,Goalkeeper
BradshawZak20030922,"Bradshaw, Zak",Zak Bradshaw,Bradshaw,Zak,2003-09-22,,,Defender,Centre-Back,Defensive Midfield,Left-Back,Centre-Back
BramhallJohn19561120,"Bramhall, John",John Bramhall,Bramhall,John,1956-11-20,,Center Half,,,,,Center Half
BranchGraham19720212,"Branch, Graham",Graham Branch,Branch,Graham,1972-02-12,,Winger,Midfielder,Left Winger,Left Midfield,Left-Back,Winger
BrannanGed19720115,"Brannan, Ged",Ged Brannan,Brannan,Ged,1972-01-15,,Fullback,Midfielder,Central Midfield,Left-Back,,Fullback
BrennanMike19410506,"Brennan, Mike",Mike Brennan,Brennan,Mike,1941-05-06,,Fullback,,,,,Fullback
BrezovanPeter19791209,"Brezovan, Peter",Peter Brezovan,Brezovan,Peter,1979-12-09,,,Goalkeeper,Goalkeeper,,,Goalkeeper
BridgesHarold19150630,"Bridges, Harold",Harold Bridges,Bridges,Harold,1915-06-30,,Inside Left,,,,,Inside Left
BriggsArthur19000527,"Briggs, Arthur",Arthur Briggs,Briggs,Arthur,1900-05-27,,Goalkeeper,,,,,Goalkeeper
BristowEthan20011127,"Bristow, Ethan",Ethan Bristow,Bristow,Ethan,2001-11-27,,,Defender,Left-Back,,,Left-Back
BrodieEric19401108,"Brodie, Eric",Eric Brodie,Brodie,Eric,1940-11-08,,Wing Half,,,,,Wing Half
BroomesMarlon19771128,"Broomes, Marlon",Marlon Broomes,Broomes,Marlon,1977-11-28,,,Defender,Centre-Back,Sweeper,,Centre-Back
BrownAndy19630817,"Brown, Andy",Andy Brown,Brown,Andy,1963-08-17,,Defender,,,,,Defender
BrownDave19631021,"Brown, Dave",Dave Brown,Brown,Dave,1963-10-21,,Defender,,,,,Defender
BrownJack,"Brown, Jack",Jack Brown,Brown,Jack,,Unknown,Inside Forward,,,,,Inside Forward
BrownJock19350402,"Brown, Jock",Jock Brown,Brown,Jock,1935-04-02,,Left Back,,,,,Left Back
BrownJunior19890507,"Brown, Junior",Junior Brown,Brown,Junior,1989-05-07,,,Defender,Left-Back,Left Midfield,Right Midfield,Left-Back
BrownKayleden19920415,"Brown, Kayleden",Kayleden Brown,Brown,Kayleden,1992-04-15,,,Forward,Left Midfield,,,Left Midfield
BrownOwen19600904,"Brown, Owen",Owen Brown,Brown,Owen,1960-09-04,,Forward,,,,,Forward
BrownPaul19840910,"Brown, Paul",Paul Brown,Brown,Paul,1984-09-10,,,Midfielder,Left Midfield,,,Left Midfield
BrownSamuel19080501,"Brown, Samuel",Samuel Brown,Brown,Samuel,1908-05-01,,Inside Right,,,,,Inside Right
BruceAlex19840928,"Bruce, Alex",Alex Bruce,Bruce,Alex,1984-09-28,,,Defender,Centre-Back,Right-Back,Defensive Midfield,Centre-Back
BrunaGerardo19910129,"Bruna, Gerardo",Gerardo Bruna,Bruna,Gerardo,1991-01-29,,,Midfielder,Central Midfield,Defensive Midfield,Attacking Midfield,Central Midfield
BruntRyan19930526,"Brunt, Ryan",Ryan Brunt,Brunt,Ryan,1993-05-26,,,Forward,Centre-Forward,,,Centre-Forward
BuchanTom31889,"Buchan, Tom",Tom Buchan,Buchan,Tom,,Q3 1889,Right Half,,,,,Right Half
BuchananDavid19860506,"Buchanan, David",David Buchanan,Buchanan,David,1986-05-06,,,Defender,Left-Back,,,Left-Back
BuckleyTed19120913,"Buckley, Ted",Ted Buckley,Buckley,Ted,1912-09-13,,Center Forward,,,,,Center Forward
BullockSteve19661005,"Bullock, Steve",Steve Bullock,Bullock,Steve,1966-10-05,,Defender,,,,,Defender
BulloughDenis18951129,"Bullough, Denis",Denis Bullough,Bullough,Denis,1895-11-29,,Center Forward,,,,,Center Forward
BurgessDavid19600120,"Burgess, David",David Burgess,Burgess,David,1960-01-20,,Left Back,,Right-Back,,,Left Back
BurginMeynell19111129,"Burgin, Meynell",Meynell Burgin,Burgin,Meynell,1911-11-29,,Center Forward,,,,,Center Forward
BurkeMarshall19590326,"Burke, Marshall",Marshall Burke,Burke,Marshall,1959-03-26,,Defender,,,,,Defender
BurnsKinear19230924,"Burns, Kinear",Kinear Burns,Burns,Kinear,1923-09-24,,Outside Right,,,,,Outside Right
BurnsRobbie19901115,"Burns, Robbie",Robbie Burns,Burns,Robbie,1990-11-15,,,Midfielder,Central Midfield,,,Central Midfield
BurrowsWilf11902,"Burrows, Wilf",Wilf Burrows,Burrows,Wilf,,Q1 1902,Goalkeeper,,,,,Goalkeeper
BurtonJake20011115,"Burton, Jake",Jake Burton,Burton,Jake,2001-11-15,,,Forward,Centre-Forward,,,Centre-Forward
ButlerCharles19080320,"Butler, Charles",Charles Butler,Butler,Charles,1908-03-20,,Inside Right,,,,,Inside Right
BuxtonAdam19920512,"Buxton, Adam",Adam Buxton,Buxton,Adam,1992-05-12,,,Defender,Right-Back,Left-Back,Centre-Back,Right-Back
ByrneJohn19390525,"Byrne, John (b.1939)",John Byrne,Byrne,John,1939-05-25,,Outside Left,,,,,Outside Left
ByrneJohn19490324,"Byrne, John (b.1949)",John Byrne,Byrne,John,1949-03-24,,Outside Right,,,,,Outside Right
ByrneNeill19930202,"Byrne, Neill",Neill Byrne,Byrne,Neill,1993-02-02,,,Defender,Centre-Back,,,Centre-Back
ByromTom19200317,"Byrom, Tom",Tom Byrom,Byrom,Tom,1920-03-17,,Wing Half,,,,,Wing Half
CahillPaul19550929,"Cahill, Paul",Paul Cahill,Cahill,Paul,1955-09-29,,Defender,,,,,Defender
CamdenChris19630528,"Camden, Chris",Chris Camden,Camden,Chris,1963-05-28,,Center Forward,,,,,Center Forward
CampbellJohnny18941014,"Campbell, Johnny",Johnny Campbell,Campbell,Johnny,1894-10-14,,Wing Half,,,,,Wing Half
CampbellLes19350726,"Campbell, Les",Les Campbell,Campbell,Les,1935-07-26,,Winger,,Left Winger,Attacking Midfield,Right Winger,Winger
CampbellTommy19350220,"Campbell, Tommy",Tommy Campbell,Campbell,Tommy,1935-02-20,,Center Forward,,,,,Center Forward
CansdellSherriffShane19821110,"Cansdell-Sherriff, Shane",Shane Cansdell-Sherriff,Cansdell-Sherriff,Shane,1982-11-10,,,Defender,Left-Back,Centre-Back,,Left-Back
CapriceJake19921111,"Caprice, Jake",Jake Caprice,Caprice,Jake,1992-11-11,,,Defender,Right-Back,Left-Back,Right Midfield,Right-Back
CarlsonGeorge19250727,"Carlson, George",George Carlson,Carlson,George,1925-07-27,,Center Forward,,,,,Center Forward
CarmodyMike19660209,"Carmody, Mike",Mike Carmody,Carmody,Mike,1966-02-09,,Midfielder,,,,,Midfielder
CaroleSebastien19820908,"Carole, Sebastien",Sebastien Carole,Carole,Sebastien,1982-09-08,,,Midfielder,Right Winger,Attacking Midfield,Right Midfield,Right Winger
CarterJoseph18990727,"Carter, Joseph",Joseph Carter,Carter,Joseph,1899-07-27,,Inside Right,,,,,Inside Right
CartmanBert19000228,"Cartman, Bert",Bert Cartman,Cartman,Bert,1900-02-28,,Outside Left,,,,,Outside Left
CartwrightWilliam19220611,"Cartwright, William",William Cartwright,Cartwright,William,1922-06-11,,Center Half,,,,,Center Half
CarvellArthur19110526,"Carvell, Arthur",Arthur Carvell,Carvell,Arthur,1911-05-26,,Left Back,,,,,Left Back
CaseyGerry19410825,"Casey, Gerry",Gerry Casey,Casey,Gerry,1941-08-25,,Half Back,,,,,Half Back
CassidyJake19930209,"Cassidy, Jake",Jake Cassidy,Cassidy,Jake,1993-02-09,,,Forward,Centre-Forward,,,Centre-Forward
CassidyJames19110803,"Cassidy, James",James Cassidy,Cassidy,James,1911-08-03,,Inside Left,,Centre-Forward,,,Inside Left
CathalinaTimothy19850124,"Cathalina, Timothy",Timothy Cathalina,Cathalina,Timothy,1985-01-24,,,Defender,Right-Back,Centre-Back,,Right-Back
ChadwickHarold19190125,"Chadwick, Harold",Harold Chadwick,Chadwick,Harold,1919-01-25,,Outside Right,,,,,Outside Right
ChallinorDave19751002,"Challinor, Dave",Dave Challinor,Challinor,Dave,1975-10-02,,Central Defender,Defender,Centre-Back,,,Central Defender
ChalmersBilly19010403,"Chalmers, Billy",Billy Chalmers,Chalmers,Billy,1901-04-03,,Outside Left,,,,,Outside Left
ChalmersLogan20000324,"Chalmers, Logan",Logan Chalmers,Chalmers,Logan,2000-03-24,,,Forward,Left Winger,Right Winger,,Left Winger
ChamberlainAlec19640620,"Chamberlain, Alec",Alec Chamberlain,Chamberlain,Alec,1964-06-20,,Goalkeeper,,,,,Goalkeeper
ChapmanAaron19900529,"Chapman, Aaron",Aaron Chapman,Chapman,Aaron,1990-05-29,,,Goalkeeper,Goalkeeper,,,Goalkeeper
CharltonBilly19001010,"Charlton, Billy",Billy Charlton,Charlton,Billy,1900-10-10,,Inside Left,,,,,Inside Left
CharltonWilf19330912,"Charlton, Wilf",Wilf Charlton,Charlton,Wilf,1933-09-12,,Wing Half,,,,,Wing Half
ChecklandFrank18950731,"Checkland, Frank",Frank Checkland,Checkland,Frank,1895-07-31,,Half Back,,,,,Half Back
ChivertonTed11913,"Chiverton, Ted",Ted Chiverton,Chiverton,Ted,,Q1 1913,Right Half,,,,,Right Half
ChorleyBen19820930,"Chorley, Ben",Ben Chorley,Chorley,Ben,1982-09-30,,,Defender,Centre-Back,Defensive Midfield,,Centre-Back
ClarkArchie19020404,"Clark, Archie",Archie Clark,Clark,Archie,1902-04-04,,Center Half,,,,,Center Half
ClarkeColin19621030,"Clarke, Colin",Colin Clarke,Clarke,Colin,1962-10-30,,Center Forward,,,,,Center Forward
ClarkeEddie19981229,"Clarke, Eddie",Eddie Clarke,Clarke,Eddie,1998-12-29,,,Defender,Left-Back,,,Left-Back
ClarkePeter19820103,"Clarke, Peter",Peter Clarke,Clarke,Peter,1982-01-03,,,Defender,Centre-Back,,,Centre-Back
ClaytonGordon19361103,"Clayton, Gordon",Gordon Clayton,Clayton,Gordon,1936-11-03,,Goalkeeper,,,,,Goalkeeper
ClaytonJohn19610820,"Clayton, John",John Clayton,Clayton,John,1961-08-20,,Forward,,,,,Forward
CliffEddie19510930,"Cliff, Eddie",Eddie Cliff,Cliff,Eddie,1951-09-30,,Midfielder,,,,,Midfielder
ClintonTommy19260413,"Clinton, Tommy",Tommy Clinton,Clinton,Tommy,1926-04-13,,Fullback,,,,,Fullback
ColeLarnell19930309,"Cole, Larnell",Larnell Cole,Cole,Larnell,1993-03-09,,,Midfielder,Right Midfield,Attacking Midfield,Left Midfield,Right Midfield
ColemanTony19450502,"Coleman, Tony",Tony Coleman,Coleman,Tony,1945-05-02,,Outside Left,,,,,Outside Left
CollingsPaul19680930,"Collings, Paul",Paul Collings,Collings,Paul,1968-09-30,,Goalkeeper,,,,,Goalkeeper
CollinsAaron19970527,"Collins, Aaron",Aaron Collins,Collins,Aaron,1997-05-27,,,Forward,Centre-Forward,Right Winger,Left Winger,Centre-Forward
CollisterJoe19911215,"Collister, Joe",Joe Collister,Collister,Joe,1991-12-15,,,Goalkeeper,Goalkeeper,,,Goalkeeper
ConnellySean19700626,"Connelly, Sean",Sean Connelly,Connelly,Sean,1970-06-26,,,Defender,Right-Back,,,Right-Back
ConnerDick19310813,"Conner, Dick",Dick Conner,Conner,Dick,1931-08-13,,Wing Half,,,,,Wing Half
ConnorBill,"Connor, Bill",Bill Connor,Connor,Bill,,Unknown,Right Back,,,,,Right Back
ConnorJohn19140201,"Connor, John",John Connor,Connor,John,1914-02-01,,Fullback,,,,,Fullback
ConroyBobby19290620,"Conroy, Bobby",Bobby Conroy,Conroy,Bobby,1929-06-20,,Left Back,,Left-Back,,,Left Back
CookAndy19901018,"Cook, Andy",Andy Cook,Cook,Andy,1990-10-18,,,Forward,Centre-Forward,,,Centre-Forward
CookFred,"Cook, Fred",Fred Cook,Cook,Fred,,Unknown,Outside Right,,,,,Outside Right
CookGeorge1909,"Cook, George",George Cook,Cook,George,,~1909,Fullback,,,,,Fullback
CookPaul19670222,"Cook, Paul",Paul Cook,Cook,Paul,1967-02-22,,Midfielder,Midfielder,Central Midfield,Left Midfield,,Midfielder
CooperKevin19750208,"Cooper, Kevin",Kevin Cooper,Cooper,Kevin,1975-02-08,,,Midfielder,Left Midfield,,,Left Midfield
CooperSteve19640622,"Cooper, Steve",Steve Cooper,Cooper,Steve,1964-06-22,,Forward,,Centre-Forward,,,Forward
CoppellSteve19550709,"Coppell, Steve",Steve Coppell,Coppell,Steve,1955-07-09,,Outside Right,,,,,Outside Right
CorryPaul19910203,"Corry, Paul",Paul Corry,Corry,Paul,1991-02-03,,,Midfielder,Central Midfield,Attacking Midfield,Left Midfield,Central Midfield
CoughlinAndy19930131,"Coughlin, Andy",Andy Coughlin,Coughlin,Andy,1993-01-31,,,Goalkeeper,Goalkeeper,,,Goalkeeper
CoxAlan19200904,"Cox, Alan",Alan Cox,Cox,Alan,1920-09-04,,Inside Forward,,,,,Inside Forward
CoyneDanny19730827,"Coyne, Danny",Danny Coyne,Coyne,Danny,1973-08-27,,Goalkeeper,Goalkeeper,Goalkeeper,,,Goalkeeper
CoyneJohn19510718,"Coyne, John",John Coyne,Coyne,John,1951-07-18,,Forward,,,,,Forward
CoyneTommy19621114,"Coyne, Tommy",Tommy Coyne,Coyne,Tommy,1962-11-14,,Forward,,Centre-Forward,,,Forward
CravenSteve19570917,"Craven, Steve",Steve Craven,Craven,Steve,1957-09-17,,Midfielder,,,,,Midfielder
CrawfordAli19910730,"Crawford, Ali",Ali Crawford,Crawford,Ali,1991-07-30,,,Midfielder,Left Midfield,Central Midfield,Attacking Midfield,Left Midfield
CrawfordBruce19381010,"Crawford, Bruce",Bruce Crawford,Crawford,Bruce,1938-10-10,,Wing Half,,,,,Wing Half
CresswellAaron19891215,"Cresswell, Aaron",Aaron Cresswell,Cresswell,Aaron,1989-12-15,,,Defender,Left-Back,Left Midfield,Centre-Back,Left-Back
CreweBilly19011126,"Crewe, Billy",Billy Crewe,Crewe,Billy,1901-11-26,,Right Half,,,,,Right Half
CromptonArthur19030109,"Crompton, Arthur",Arthur Crompton,Crompton,Arthur,1903-01-09,,Wing Half,,,,,Wing Half
CropperReg19020121,"Cropper, Reg",Reg Cropper,Cropper,Reg,1902-01-21,,Inside Left,,,,,Inside Left
CrossanEddie19251117,"Crossan, Eddie",Eddie Crossan,Crossan,Eddie,1925-11-17,,Inside Forward,,,,,Inside Forward
CrossleyPaul19480714,"Crossley, Paul",Paul Crossley,Crossley,Paul,1948-07-14,,Forward,,Left Winger,,,Forward
CroughanTom19990919,"Croughan, Tom",Tom Croughan,Croughan,Tom,1999-09-19,,,Midfielder,Second Striker,Attacking Midfield,Central Midfield,Second Striker
CrowtherGeorge21892,"Crowther, George",George Crowther,Crowther,George,,Q2 1892,Center Forward,,,,,Center Forward
CrutchleyVic31910,"Crutchley, Vic",Vic Crutchley,Crutchley,Vic,,Q3 1910,Right Back,,,,,Right Back
CumbesJim19440504,"Cumbes, Jim",Jim Cumbes,Cumbes,Jim,1944-05-04,,Goalkeeper,,Goalkeeper,,,Goalkeeper
CunninghamCharlie,"Cunningham, Charlie",Charlie Cunningham,Cunningham,Charlie,,Unknown,Inside Left,,,,,Inside Left
CurnowJack19100131,"Curnow, Jack",Jack Curnow,Curnow,Jack,1910-01-31,,Goalkeeper,,,,,Goalkeeper
CurranCraig19890823,"Curran, Craig",Craig Curran,Curran,Craig,1989-08-23,,,Forward,Centre-Forward,Second Striker,Right Winger,Centre-Forward
CurranFrank19170531,"Curran, Frank",Frank Curran,Curran,Frank,1917-05-31,,Inside Forward,,,,,Inside Forward
